conversation_id,tweet,abusive
1.1648905643090043e+18,@SAfridiOfficial @UN @narendramodi Jhuta news mat faila kamine apna ghar sambhal saale kutte,1
1.1648905643090043e+18,"@SAfridiOfficial @UN @narendramodi Pahle nahin bataya ki app Owaisi ke bhai ho, ab apko congres join karni chahiye",1
6.35079743746904e+17,@ravishndtv Rahul Gandhi ji ko bahut follow Kar rahe ho lagra..Wo kya hai na ki wo bich bich me ekdum sanyasi ho jate hai.,0
1.2283586079489843e+18,"@SAfridiOfficial Shahid Bhai Pak women team bnana chahte h,5 ho gyi h Abhi 6 Baki h😂😂",1
1.2783046597116805e+18,@ShiChikkalli @SAfridiOfficial Laanat upon lier,1
1.2283586079489843e+18,@SAfridiOfficial Retired hokar yahi kaam kar rahe ho ..😁😁😁,1
1.1105088025316431e+18,"@priyankagandhi Congress ke भाषण में हमेशा  RSS को समाप्त करने का संकल्प होता है परन्तु आतंकवाद, रोहिंग्या,लश्कर व जैश के खिलाफ एक शब्द नहीं ?",1
1.4605603104656998e+18,@thevirdas are bhai tu wahin rehne lg ja na ye desh to hai ee khraab fer kyu yahan gaand mraane aa jata hai... apne Bollywood ko bhi le jao saath mein gaandu log ..,1
9.81084208369193e+17,@IrfanShah198 @atulpatil7722 @AajKaMogli @SAfridiOfficial @UN Chalo hum Jalebi bana k logo ko khilate hain par aap log toh Bombs bana k innocents ko marte ho na uska kya? #Shame,1
1.46125826043494e+18,"@khanumarfa Composite culture, soul of India
Awaz do hum ek hain
Seriously 😂 https://t.co/ZHwgol8ubP",0
9.81084208369193e+17,"@Shubhamcasm Haha paglay Father's day pe humne tumhari team ko nanga chod k sabit ker dia tha k kon baap hai aur kon Gandu 😘 baki tu apni maa se puch mere baray may yakeen maaan cheekh cheekh k kahay gi ""TERA BAAPU TERA BAAPU"" saala madae chod bhosri kaa",1
1.4605603104656998e+18,"@thevirdas Abe Gadhe jandu lal Deshdrohi h tu apne like or followers badhane ke liye ye kr raha h tu .....

Ek Vivekanand ji the jo desh ka naam roshan Kia tha 130 saal pahle .....

Or ek tu 2 kodi ka aadmi jo desh ka naam kharab kr raha h..... 

Such a shame having people like you....",1
1.4547874376500838e+18,@anjanaomkashyap @myogiadityanath Baba sangh ras lila dalal Anjana Om Kashyap,1
9.81084208369193e+17,@TahaAshai @Ankit_1309 @imVkohi @SAfridiOfficial @UN Abe kue se tweet karta hai kya be ?,1
1.2283586079489843e+18,"@SAfridiOfficial Lala,biwi Hain masin nhi.... Production pr production kiye ja rhe ho... Had h yaar... Thoda aaram bhi krne do begam ko",1
1.1105088025316431e+18,"@priyankagandhi Ma’am would have appreciated if the same amount was allocated for developing their skills or infrastructure, once voted with majority, your party will be heading #Government of #India and it is not a charitable trust, those who are seeing this samajh kar #VoteKar",1
9.81084208369193e+17,"@SAfridiOfficial @UN Bhai seedhe bol de politics me jaana hai,kyu itna ghuma kar jaa raha hai",1
1.460483085716312e+18,@thevirdas BC..... tere paida hone k baad doctors ne bhi bola hoga....double mask lgaa lena chahiye tha tere baap ko niche,1
1.2013608471775724e+18,"@priyankagandhi Photo twitt karne s pahle tume or tumhre chamcho ko dekh leni chiye thi 
To shyad twitt nhi karte 
Jabi to kate h Chars kam liya karo",1
